CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
"Church of Christ, Ang Mo Kio",,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",Society,11/1/1992
CHURCH OF CHRIST THE ROCK,T01SS0184F,Registered,,,,Religious,Christianity,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,24/9/2003
Church of Christ The King,T08CC4038L,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
"Church of Christ of Malaya, The",S56SS0023C,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,22/3/1986
CHURCH OF CHRIST - LIM AH PIN ROAD,S88SS0012K,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,08/6/1990
Church of Christ - Lavender,T03SS0001H,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,27/12/2004
Church in Missions Association,S90SS0020H,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,22/2/1995
Church Arise,T01SS0022D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,05/6/2002
Church Alive Ministries l.k.a Shalom Gospel Hall,S88SS0032J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,15/5/1993
CHUNG CHENG HIGH SCHOOL LTD.,201434965Z,Registered,,,,Education,Foundations & Trusts|Local Educational Institutions/Funds,"Training & education|Financial assistance, bursaries & scholarships|Grantmaking",Ministry of Education,Company Limited by Guarantee,11/7/2023
CHUNG CHENG HIGH SCHOOL (YISHUN),T07GS7105J,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHUNG CHENG HIGH SCHOOL (MAIN),T07GS7104B,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHUANG CHU LIN EDUCATIONAL MEMORIAL FUND,,Deregistered,,,,Education,,,Ministry of Education,,30/7/1988
CHUA FOUNDATION,201507688M,Registered with IPC,Live,01/10/2023,30/9/2026,Social and Welfare,Community,"Financial assistance, bursaries & scholarships|Supports other Charities",Ministry of Social and Family Development,Company Limited by Guarantee,17/6/2015
CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2019K,Registered with IPC,Live,01/10/2024,30/9/2027,Community,South West,"Financial assistance, bursaries & scholarships",People's Association,Others,03/5/2007
Chu Siang Tong,S64SS0027B,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,12/1/1993
Chu Sheng Temple,S78SS0057G,Registered,,,,Religious,Taoism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,01/4/1989
"CHRIST'S COLLEGE, CAMBRIDGE FUND (SINGAPORE) LIMITED",201926663G,Registered,,,,Education,Foundations & Trusts|Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships",Ministry of Education,Company Limited by Guarantee,17/6/2022
CHRISTIAN SEAMEN'S MISSION LIMITED,198501844D,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/11/1988
"CHRISTIAN SCIENCE SOCIETY, SINGAPORE",S61SS0063A,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,01/7/1985
Christian Renewal Mission,S95SS0029H,Registered,,,,Religious,Christianity,Direct Services|Supports other Charities|Training & education|Research,"Ministry of Culture, Community and Youth",Society,14/10/1999
Christian Philadelphia Fellowship (Singapore),T01SS0114D,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,08/1/2004
CHRISTIAN PAROUSIA FELLOWSHIP (SINGAPORE),S93SS0117C,Registered,,,,Religious,Christianity,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,02/12/1996
CHRISTIAN OUTREACH TO THE HANDICAPPED,S87SS0014H,Registered with IPC,Live,01/3/2024,31/10/2026,Social and Welfare,Disability (Adult),Direct Services,Ministry of Social and Family Development,Society,01/11/1987
Christian Outreach Centre,S94SS0074D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,26/10/1995
CHRISTIAN NATIONALS' EVANGELISM COMMISSION,S62SS0068H,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,08/8/1985
Christian Missionary Fellowship International (Sin gapore),T00SS0007B,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Society,28/6/2001
CHRISTIAN LIFE MEDIA MINISTRIES,S85SS0014J,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Society,19/1/1996
CHRISTIAN GRACE PRESBYTERIAN CHURCH LTD,197903636E,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/5/1986
Christian Gospel Mission,S76SS0041E,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,07/5/1986
CHRISTIAN FELLOWSHIP AND MISSIONS LTD,198300184H,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",,09/7/1986
Christian Ekklesia,S93SS0032J,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,03/8/1994
Christian Disciples Church,S87SS0095L,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,01/4/1989
CHRISTIAN COVENANT FELLOWSHIP LTD.,200909045D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/6/2010
CHRISTIAN COUNSELLING SERVICES,T12SS0078B,Registered,,,,Social and Welfare,Community|Support Groups,"Public awareness, promotion & advisory",Ministry of Social and Family Development,Society,12/6/2014
CHRISTIAN CONFERENCE OF ASIA,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,28/4/1987
Christian Community Church,T03SS0043J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,28/3/2003
CHRISTIAN COMMUNITY CHAPEL LTD,197802909D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,06/3/1987
CHRISTIAN COMMUNICATIONS (SINGAPORE),S90SS0037G,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,21/1/1993
CHRISTIAN CARE SERVICES (SINGAPORE),S99SS0072D,Registered,Not Applicable,,,Social and Welfare,Community,,Ministry of Social and Family Development,Society,21/3/2000
Christian Broadcasting Network (Singapore),T00SS0152E,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,10/4/2003
CHRISTIAN AGAPE FELLOWSHIP LTD,198305429M,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,22/10/1988
CHRISTALITE METHODIST CHAPEL,T05CC1904J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,14/9/2005
Christ Tabernacle,S90SS0028J,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,23/11/1991
CHRIST METHODIST CHURCH,S87CC0528A,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Others,06/11/1987
Christ Grace Church,S90SS0075B,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,11/10/1995
Christ Gospel Fellowship,T17SS0219H,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Direct Services|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,10/4/2023
Christ for All Nations,T03SS0135J,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,15/3/2005
CHRIST CHURCH SECONDARY SCHOOL,T07GS7025F,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
Christ Church of Singapore,S70SS0015K,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,08/8/1985
CHOWK PRODUCTIONS LTD.,201411870W,Registered with IPC,Live,01/7/2025,31/12/2027,Arts and Heritage,"Professional, Contemporary & Ethnic Dance|Theatre & Dramatic Arts|Traditional Ethnic Performing Arts|Training & Education",Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,05/3/2018
CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,201604228M,Registered,,,,Others,General Charitable Purposes,"Grantmaking|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,25/8/2016
Chow Eng Chee of Toa Payoh (Singapore),S95SS0075E,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,06/4/2000
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,201003141H,Registered,,,,Social and Welfare,Children/Youth,Training & education,Ministry of Social and Family Development,Company Limited by Guarantee,22/2/2012
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,201404167K,Registered,,,,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,06/1/2017
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,201526674R,Registered,,,,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Company Limited by Guarantee,06/1/2017
CHOW & CHOWS CHARITY LTD.,201325771N,Registered,,,,Social and Welfare,Children/Youth|Community|Disability (Children)|Family|Support Groups,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Company Limited by Guarantee,29/9/2015
CHOU SING CHU FOUNDATION,200414000R,Deregistered,,,,Others,General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,22/2/2005
CHONGFU SCHOOL,T07GS5636D,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
Chong Yee Temple,S84SS0024J,Registered,,,,Religious,Taoism,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,24/6/1986
CHONG TOW KONG TEMPLE,T06CC1957E,Registered,,,,Religious,Taoism,Supports other Charities,"Ministry of Culture, Community and Youth",Others,18/4/2006
CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T03CC1661B,Registered with IPC,Live,01/4/2024,31/3/2027,Community,North West,"Financial assistance, bursaries & scholarships",People's Association,Others,28/2/2003
Chong Hua Tong Tou Teck Hwee,S80SS0015B,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,27/9/1989
CHONG HOCK TONG,T12SS0083E,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,24/4/1995
Chong Ghee Temple,S85SS0057F,Registered,,,,Religious,Taoism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,19/1/1989
CHONG BOON CONSTITUENCY CCC BURSARY AND WELFARE FUND,,Deregistered,,,,Education,,,Ministry of Education,,03/12/1987
Choa Chu Kang Yew Tee Chun Lian He Miow,S98SS0158L,Registered,,,,Religious,Taoism,"Direct Services|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,08/9/2003
CHOA CHU KANG BIBLE CENTRE KINDERGARTEN,S97CC1289D,Deregistered,,,,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Others,17/11/1997
CHINESE THEATRE CIRCLE LIMITED,199502067G,Registered,Not Applicable,01/3/2021,31/8/2021,Arts and Heritage,Traditional Ethnic Performing Arts,"Direct Services|Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,16/6/1999
Chinese Opera Society (Singapore),S92SS0092A,Registered,Not Applicable,,27/9/2005,Arts and Heritage,Traditional Ethnic Performing Arts,,"Ministry of Culture, Community and Youth",Society,09/11/2000
"CHINESE KINDERGARTEN, THE",S85CC0182D,Registered,,,,Social and Welfare,Children/Youth,Direct Services|Training & education,Ministry of Social and Family Development,Others,27/5/1985
Chinese Heritage Centre Council,S96SS0071D,Deregistered,Not Applicable,,11/9/2012,Arts and Heritage,Historical & Cultural Conservation,,"Ministry of Culture, Community and Youth",Society,25/4/1996
CHINESE DEVELOPMENT ASSISTANCE COUNCIL,199202625K,Registered with IPC,Live,22/5/2022,21/5/2027,Others,Self-Help Groups,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,23/7/1992
CHINESE CULTURAL ASSOCIATION,T11SS0134F,Registered,Not Applicable,,,Arts and Heritage,Historical & Cultural Conservation|Traditional Ethnic Performing Arts|Visual Arts,,"Ministry of Culture, Community and Youth",Society,13/9/2011
Chinese Church Union (Singapore),S71SS0015D,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,07/12/1983
CHINESE CHRISTIAN MISSION LIMITED,197901408G,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/12/1986
"Chinese Calligraphy Society of Singapore, The",S68SS0039H,Registered,Expired,28/3/2025,27/9/2025,Arts and Heritage,Historical & Cultural Conservation|Traditional Ethnic Performing Arts|Training & Education|Visual Arts,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Society,03/6/2020
CHINESE ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,S90CC0752A,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Others,05/10/1990
CHINESE ANNUAL CONFERENCE (PART OF METHODIST CHURCH IN SINGAPORE),S88CC0547J,Registered,,,,Religious,Christianity,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Others,16/1/1988
Chin Long Kong Temple,S94SS0122L,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,04/3/1995
CHIN LIEN BIBLE SEMINARY,S88CC0573G,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Others,23/5/1988
Chin Khong Kow Poon Guan San Toh Tong,S99SS0091G,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,08/7/2005
Chin Fook Meow,S85SS0042K,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,10/5/1993
CHILDREN'S WISHING WELL,200201465K,Registered with IPC,Live,01/4/2025,31/3/2028,Social and Welfare,Community|Family|Support Groups,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,08/8/2002
CHILDREN'S RESEARCH INT'L S'PORE,,Deregistered,,,,Health,,,Ministry of Health,,11/4/1985
CHILDREN'S LUKAEMIA FOUNDATION LIMITED,200516293H,Deregistered,,,,Health,Diseases/Illnesses Support Group,,Ministry of Health,Company Limited by Guarantee,12/1/2006
"Children's Charities Association of Singapore, The",S66SS0023F,Registered with IPC,Expired,01/9/2024,28/2/2026,Social and Welfare,Children/Youth,Supports other Charities,Ministry of Social and Family Development,Society,25/9/1984
CHILDREN'S CANCER FOUNDATION,201934434R,Registered with IPC,Live,05/5/2025,04/5/2028,Health,Diseases/Illnesses Support Group,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research",Ministry of Health,Company Limited by Guarantee,15/2/2020
Children's Cancer Foundation,S92SS0103J,Deregistered,Terminated,05/5/2019,04/5/2022,Health,Diseases/Illnesses Support Group,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research",Ministry of Health,Society,02/12/1992
Children's Aid Society,S62SS0031K,Registered with IPC,Live,01/4/2025,31/3/2027,Social and Welfare,Family,Direct Services,Ministry of Social and Family Development,Society,14/2/1984
CHILDREN'S AID LIMITED,202436783M,Registered with IPC,Live,10/4/2025,31/3/2027,Social and Welfare,Children/Youth,,Ministry of Social and Family Development,Company Limited by Guarantee,18/3/2025
Children-At-Risk Empowerment Association,T00SS0043E,Registered with IPC,Live,01/2/2025,31/7/2026,Social and Welfare,Children/Youth,"Direct Services|Public awareness, promotion & advisory|Training & education|Research",Ministry of Social and Family Development,Society,26/6/2001
CHILDREN OF SINGAPORE FOUNDATION LIMITED,200509377M,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Company Limited by Guarantee,23/11/2005
Children of Mother Earth Society (Singapore),T02SS0006E,Registered,,,,Others,Children/Youth|General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Society,07/10/2002
"CHILDCARE AND CHILDREN FUND,THE",S93CC0953E,Registered,Not Applicable,,,Social and Welfare,Support Groups,Direct Services,"Ministry of Culture, Community and Youth",Others,06/4/1993
CHILD EVANGELISM FELLOWSHIP (SINGAPORE) LTD.,197700453M,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,19/3/1984
Child Bereavement Support (Singapore),T04SS0243G,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Society,13/10/2004
CHILD AT STREET 11 LTD.,199501798C,Registered with IPC,Live,03/9/2025,02/9/2026,Social and Welfare,Children/Youth,"Direct Services|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,30/4/1999
CHIJ ST. THERESA'S CONVENT,T07GS7023C,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ ST. NICHOLAS GIRLS' SCHOOL,T07GS7118B,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ ST. JOSEPH'S CONVENT,T07GS7019G,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ SECONDARY (TOA PAYOH),T07GS7004L,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ SANCTUARY FOR CHILDREN LIMITED,202326278Z,Registered with IPC,Live,01/10/2025,30/9/2026,Social and Welfare,Children/Youth|Family,"Direct Services|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Company Limited by Guarantee,20/2/2024
CHIJ PRIMARY (TOA PAYOH),T07GS5004G,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ OUR LADY QUEEN OF PEACE,T07GS5019C,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ OUR LADY OF THE NATIVITY,T07GS5007F,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ OUR LADY OF GOOD COUNSEL,T07GS5017L,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ KATONG CONVENT,T07GS7008F,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ (KELLOCK),T07GS5005C,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHIJ (KATONG) PRIMARY,T07GS5637L,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CHICAGO GSB AXP SCHOLARSHIP FUND,T05CC1917B,Deregistered,Not Applicable,,06/12/2009,Education,Foreign Educational Institutions/Funds,,Ministry of Education,Others,08/12/2005
Chiam See Tong Sports Fund,T17SS0038G,Deregistered,,,,Others,Children/Youth,"Direct Services|Grantmaking|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,26/2/2018
Chia Leng Kong Temple,S80SS0030K,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,10/10/1986
Chi Hock Keng Temple,S90SS0004D,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory|Supports other Charities","Ministry of Culture, Community and Youth",Society,10/5/2000
CHEW HUA SENG FOUNDATION LIMITED,200721080W,Deregistered,,,,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Company Limited by Guarantee,10/10/2008
CHEW HOW TECK FOUNDATION,T06CC1995L,Registered,,,,Others,Think Tanks,,"Ministry of Culture, Community and Youth",Others,23/8/2006
Chettiars' Temple Society,T04SS0015B,Registered,,,,Religious,Hinduism,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,07/12/2004
CHERN NAM KONG SIEW TEMPLE,S88SS0047E,Registered,,,,Religious,Taoism,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,17/10/1992
Cherith Baptist Church,S60SS0006J,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,03/7/1986
Cher Lian Tong Buddhist Temple,S93SS0068L,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,21/5/1999
CHEOW LENG BEO TEMPLE,S75SS0012C,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,28/10/1985
Cheo Teik Temple,S97SS0113F,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,22/1/2001
Cheo Bu Tong Temple,S96SS0028F,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,27/7/1999
Cheng Teck Sian See Buddhist Association,T00SS0028H,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,28/5/2003
CHENG TECK KEONG TEMPLE,T06CC1946D,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Others,29/3/2006
Cheng San CCC Community Development And Welfare Fund,S86CC0356D,Registered with IPC,Live,01/4/2024,31/3/2027,Community,Central,"Financial assistance, bursaries & scholarships",People's Association,Others,14/7/1986
Cheng Kak Si,S99SS0003J,Registered,,,,Religious,Buddhism,Direct Services,"Ministry of Culture, Community and Youth",Society,13/7/2001
Cheng Hong Welfare Service Society,T04SS0148G,Registered with IPC,Live,01/2/2026,31/1/2029,Health,Active Ageing|TCM Clinic,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships",Ministry of Health,Society,02/7/2004
CHEN SU LAN TRUST,194900051D,Registered,,,,Social and Welfare,Community,,Ministry of Social and Family Development,Company Limited by Guarantee,27/3/1985
Chen Su Lan Methodist Children's Home,S68SS0016K,Registered with IPC,Live,01/3/2025,29/2/2028,Social and Welfare,Children/Youth|Disability (Children)|Family,"Direct Services|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,28/6/1984
CHEN LI PRESBYTERIAN CHURCH,T13SS0086J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,19/6/1989
Chek Sian Tng,S92SS0044A,Registered,,,,Religious,Buddhism,Direct Services,"Ministry of Culture, Community and Youth",Society,17/9/1993
Chek Chai Long Chuen Temple,S83SS0044C,Registered,,,,Religious,Taoism,"Direct Services|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,10/1/1986
Chee Tong Temple,S72SS0005D,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,17/1/1986
Chee Tian Keng Temple,S93SS0010G,Registered,,,,Religious,Taoism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,29/1/1999
Chee Seng Temple,S80SS0014F,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,20/5/1987
"Chee Hwan Kog, Singapore",S66SS0044A,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,20/9/1985
CHEE HWAN KOG CHILDCARE CENTRE,S93CC0969H,Registered,,,,Social and Welfare,Children/Youth,Direct Services|Training & education,Ministry of Social and Family Development,Others,20/7/1993
Chee Hia Kog Moral Society,T03SS0054K,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,04/7/2006
CHECKPOINT THEATRE LIMITED,200209251R,Registered with IPC,Live,01/1/2025,31/12/2026,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,28/2/2003
CHAY SIAN TONG LIMITED,197900126K,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,28/8/1985
"Chartered Institute of Logistics and Transport, Singapore, The",S72SS0011C,Registered,,,,Others,General Charitable Purposes,"Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education|Research","Ministry of Culture, Community and Youth",Society,26/2/1997
Charn Mao Hern Kew Huang Keng,S87SS0017G,Registered,,,,Religious,Taoism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,09/10/1996
Charitable Assistance Society,S96SS0068D,Registered,,,,Social and Welfare,Community,,Ministry of Social and Family Development,Society,01/6/2004
CHARIS METHODIST CHURCH,S89CC0696A,Registered,,,,Religious,Christianity,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Others,08/11/1989
Charis Full Gospel Centre,S88SS0042C,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,26/8/1996
Charis Evangelical Free Church,S96SS0056G,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Society,21/10/1997
Charis Centre,T00SS0185H,Registered,,,,Social and Welfare,Children/Youth|Community|Family|Support Groups,Training & education,Ministry of Social and Family Development,Society,01/2/2002
CHARACTER & LEADERSHIP ACADEMY LIMITED,201412408N,Registered,,,,Others,Children/Youth,"Direct Services|Research|Supports other Charities|Grantmaking|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/7/2015
CHAR YONG (DABU) FOUNDATION LIMITED,199506669C,Registered,,,,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",Ministry of Education,Company Limited by Guarantee,26/12/1997
Chapel of the Resurrection (Mandarin Congregation),T08CC4063B,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Chapel of the Resurrection,T08CC4062F,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Chapel of the Holy Spirit,T08CC4061K,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Chapel of Christ the Redeemer,T08CC4060C,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Chapel of Christ the King,T08CC4059F,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Chao Ying Kong Temple,S94SS0007A,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,19/1/1996
Channel Marker Evangelism Church,T01SS0190E,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,11/4/2003
CHANGKAT SOUTH CCC WELFARE & EDUCATION FUND,,Deregistered,,,,Community,,,People's Association,,08/1/1996
CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T02CC1598D,Registered with IPC,Live,01/1/2025,31/12/2027,Community,South East,"Financial assistance, bursaries & scholarships|Training & education",People's Association,Others,31/8/2002
CHANGI METHODIST CHURCH,S87CC0505C,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,01/10/1987
CHANGI HEALTH FUND (LTD.),201133557D,Deregistered,Not Applicable,,,Health,,"Direct Services|Grantmaking|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research",Ministry of Health,Company Limited by Guarantee,13/12/2011
